problem,method,converged,f_best,quality_success,iterations,time_sec,func_calls,peak_memory_kib,run
rastrigin,simulated_annealing,False,0.2672649354359713,0.0,2471,0.9535352999810129,2472,27.140625,4
rastrigin,simulated_annealing,False,0.28345402943391207,0.0,2471,0.9801296000368893,2472,27.109375,5
rastrigin,simulated_annealing,False,0.33475886221623163,0.0,2471,0.8265854000346735,2472,27.140625,6
rastrigin,simulated_annealing,False,0.23371109377715982,0.0,2471,0.8967752000316978,2472,27.078125,7
rastrigin,simulated_annealing,False,1.3699906105368242,0.0,2471,0.777961099985987,2472,27.109375,8
rastrigin,simulated_annealing,False,0.1616278324531546,0.0,2471,0.687303000013344,2472,27.109375,9
rastrigin,simulated_annealing,False,1.015019139768686,0.0,2471,0.6471984999952838,2472,27.140625,10
rastrigin,simulated_annealing,False,0.20584997264111138,0.0,2471,0.7796533000655472,2472,27.140625,11
rastrigin,differential_evolution,True,0.0005697299512856802,1.0,66,0.9178875000216067,2345,12.2490234375,0
rastrigin,differential_evolution,True,0.0009620451231331373,1.0,57,0.6442249999381602,2030,10.6904296875,1
rastrigin,differential_evolution,False,0.21659924096507766,0.0,40,0.4356168999802321,1435,10.5068359375,2
rastrigin,differential_evolution,True,0.0008090665224536053,1.0,53,0.8760564000112936,1890,10.7294921875,3
rastrigin,differential_evolution,False,1.0607356103761028,0.0,35,0.3873606000561267,1260,10.4404296875,4
rastrigin,differential_evolution,True,0.0007668417517621151,1.0,42,0.5780751999700442,1505,10.7021484375,5
rastrigin,differential_evolution,True,0.0007283394357724404,1.0,66,0.8523900000145659,2345,10.8466796875,6
rastrigin,differential_evolution,True,0.00021062707756769328,1.0,47,0.6801043000305071,1680,10.6162109375,7
rastrigin,differential_evolution,True,0.0007174707246520029,1.0,58,0.7607515000272542,2065,10.7880859375,8
rastrigin,differential_evolution,True,0.0002913687354730854,1.0,46,0.5809317999519408,1645,10.7958984375,9
rastrigin,differential_evolution,True,0.00032322310164012436,1.0,42,0.647479800041765,1505,10.6826171875,10
rastrigin,differential_evolution,True,0.0009048528327646466,1.0,74,0.9501891999971122,2625,10.9130859375,11
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0018382000271230936,181,1.0244140625,0
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0009751999750733376,181,1.0244140625,1
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0007377000292763114,181,1.0244140625,2
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0007386000361293554,181,1.0244140625,3
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0007168999873101711,181,1.0244140625,4
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.00073640001937747,181,1.0244140625,5
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0022554999450221658,181,1.0244140625,6
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0021217999747022986,181,1.0244140625,7
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.001715600024908781,181,1.0244140625,8
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0017779999179765582,181,0.9619140625,9
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.0009198000188916922,181,0.9619140625,10
desmos_round_sin,gradient_descent,False,13.253332991601424,,8,0.001523599959909916,181,0.9619140625,11
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.021882300032302737,1814,7.61328125,0
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.02169500000309199,1814,8.24609375,1
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.021855899947695434,1814,6.58203125,2
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.015951400040648878,1814,6.58203125,3
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.014309599995613098,1814,6.58203125,4
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.013807300012558699,1814,6.58203125,5
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.018657099921256304,1814,6.58203125,6
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.01749050000216812,1814,6.58203125,7
desmos_round_sin,nelder_mead,True,3.4817911750329977,,227,0.016157799982465804,1814,6.58203125,8
