function,method,best_x,best_y,best_value,known_optimum_value,abs_value_error,distance_to_known_optimum,function_calls,elapsed_sec,memory_bytes
Bukin6,ParticleSwarm,-7.216442710173723,0.5207704538922002,0.027843023478859693,0.0,0.027843023478859693,2.824509186320288,10440,0.1100590000005468,6416
Matyas,SimulatedAnnealing,0.01989933833299562,0.02675330079237781,3.35088877222783e-05,0.0,3.35088877222783e-05,0.033342506945016476,901,0.022414799999751267,14432
Matyas,ParticleSwarm,1.080914763612021e-11,-3.651569754092164e-12,0.0,0.0,0.0,1.1409278429788794e-11,10440,0.10905430000093475,6416
Levi13,SimulatedAnnealing,1.0152067223681491,1.0806231914550866,0.028771553316595398,0.0,0.028771553316595398,0.08204476464458602,901,0.02508979999947769,14432
Levi13,ParticleSwarm,0.9999999999994643,0.9999999999925515,0.0,0.0,0.0,7.467724124878834e-12,10440,0.13560379999944416,6416
Himmelblau,SimulatedAnnealing,-2.7907814297625726,3.126232027321153,0.007581949501624125,0.0,0.007581949501624125,5.899283697759159,901,0.028708200001346995,14432
Himmelblau,ParticleSwarm,3.0,1.9999999999976366,0.0,0.0,0.0,2.3634427748220332e-12,10440,0.15684019999935117,6416
ThreeHumpCamel,SimulatedAnnealing,0.010598375044005015,0.01611962627449015,0.0006553220555569714,0.0,0.0006553220555569714,0.019291653760178818,901,0.028111300000091433,14432
ThreeHumpCamel,ParticleSwarm,-7.771041726178954e-12,4.231146014386543e-12,0.0,0.0,0.0,8.84825893072041e-12,10440,0.12133969999922556,6416
Easom,SimulatedAnnealing,3.0,3.0,-0.9415641575364946,-1.0,0.058435842463505416,0.20024225103908094,901,0.024176499999157386,14432
Easom,ParticleSwarm,3.141592660290237,3.1415926534253473,-1.0,-1.0,0.0,6.7024614088500294e-09,10440,0.11900559999958205,6416
CrossInTray,SimulatedAnnealing,1.3530928119541623,1.3572308594668814,-2.062603626996949,-2.06261,6.373003050619275e-06,0.008644590602823764,901,0.02394100000128674,14432
CrossInTray,ParticleSwarm,1.3494065974624374,1.34940663739875,-2.0626118708227397,-2.06261,1.8708227398356314e-06,4.783758880901695e-06,10440,0.117456800000582,6416
Eggholder,SimulatedAnnealing,-313.9942924962324,512.0,-821.1964214459472,-959.6407,138.44427855405286,832.9949187203734,901,0.02755090000027849,14432
Eggholder,ParticleSwarm,347.3269733248532,499.41539882533147,-888.9491252698921,-959.6407,70.69157473010796,190.2027974636164,10440,0.12175770000067132,6416
HolderTable,SimulatedAnnealing,-8.034261551209498,-9.624634153114268,-19.188087101607483,-19.2085,0.02041289839251803,25.118502130166462,901,0.02400359999955981,14432
HolderTable,ParticleSwarm,8.05502346791354,-9.664590029740696,-19.208502567886754,-19.2085,2.5678867530132266e-06,19.32918002974101,10440,0.11677800000143179,6416
McCormick,SimulatedAnnealing,-0.5430331564612757,-1.5457122829220928,-1.9132019410726246,-1.9133,9.805892737535515e-05,0.004411688561964936,901,0.023885900000095717,14432
McCormick,ParticleSwarm,-0.5471975580051462,-1.5471975569440253,-1.9132229549810367,-1.9133,7.704501896332872e-05,1.0687883082796712e-05,10440,0.11739769999985583,6416
Schaffer2,SimulatedAnnealing,0.11942217831005913,-0.14295401034706945,7.281322216756703e-05,0.0,7.281322216756703e-05,0.1862726650548319,901,0.024527300000045216,14432
Schaffer2,ParticleSwarm,-8.867339283420986e-08,-3.7551743548495906e-08,0.0,0.0,0.0,9.629695758569998e-08,10440,0.12315209999906074,6416
Schaffer4,SimulatedAnnealing,-0.3082208469875787,-2.1819838445627653,0.2948998014809239,0.292579,0.0023208014809238953,3.44891391826826,901,0.024637099999381462,14432
Schaffer4,ParticleSwarm,1.2531318278076788,-2.1510135806442624e-07,0.29257863203598045,0.292579,3.6796401953198554e-07,1.7721948859717969,10440,0.12459859999944456,6416
DesmosConstructive,SimulatedAnnealing,1.6884209008870072,-2.171712831156821,0.04442157673795681,0.0,0.04442157673795681,2.7508365563157815,901,0.025505799998427392,14432
